user_id,ll_personalized_poisson,ll_experimental_1_hawkes,test_purchases
24606,-90.5656407256333,-77.7951928842997,21.0
24644,-27.134577025170657,-27.050592406871086,9.0
24828,-8.46680570961765,-7.359948957427821,0.0
24912,-17.06295656254096,-17.47733170659227,4.0
25090,-15.048029177641169,-15.433763462463473,4.0
25122,-40.14667050566923,-39.736361079317405,17.0
25194,-17.696946703162265,-17.829288409601197,4.0
25332,-23.53133050854907,-23.22783664939021,8.0
25346,-5.065435220786979,-4.6813737807594125,1.0
25404,-5.829153032930517,-5.731064386253878,1.0
25562,-9.931221668363511,-9.808404117167614,2.0
25637,-49.289265900716806,-49.16131511657814,22.0
25672,-30.872639534500458,-27.051203805912923,8.0
25724,-13.99939979889455,-14.811742618105642,3.0
25772,-41.75603213105647,-40.75397428438429,18.0
25964,-38.81612258281329,-38.16114638007879,15.0
26063,-21.440548418309287,-18.841843410947913,4.0
26084,-7.996343321799372,-8.020915911703401,1.0
26101,-15.505869636174761,-15.58439811395825,4.0
26104,-20.53920848989662,-19.77430789712504,6.0
26107,-10.793864197338898,-9.674456616021752,1.0
26211,-16.58102736849069,-16.190818647197705,5.0
26367,-9.760621311909375,-9.418728531344508,1.0
26522,-35.92932069937966,-31.88620772635695,10.0
26692,-4.943277105418085,-5.15784221396498,1.0
26704,-15.15483569233692,-15.648572344589857,4.0
26871,-40.38452233209238,-38.84072436986815,11.0
26961,-38.72286883063323,-33.941998164262145,12.0
27213,-1.7850568292146498,-2.0720704140748127,0.0
27256,-38.232990702123026,-39.09326305277739,12.0
27326,-6.907870484444855,-6.552430789760013,1.0
27377,-42.38259702303528,-42.29095285054899,16.0
