user_id,ll_personalized_poisson,ll_global_scaled_hawkes,ll_user_scale_hawkes,test_purchases
19792,-4.929054647377197,-5.083086107700089,-5.123571726317894,1.0
19814,-20.080868829221398,-20.626750247209106,-20.49127179549754,6.0
19905,-8.510386927810512,-7.621907987034584,-7.510706716548432,2.0
20014,-14.575432238263348,-12.95290827020995,-10.266905318434173,3.0
20026,-28.396676535755905,-29.808344195760185,-30.379499916646314,7.0
20107,-23.894151080050406,-22.278428808409725,-22.181517346348993,6.0
20293,-33.99682963594414,-31.704606806481134,-31.63028368129112,9.0
20416,-14.528400621468371,-13.97702695908556,-13.8827196203576,4.0
20426,-24.307795181591,-24.89681162692274,-25.45064366876515,7.0
20473,-5.4296471276162865,-4.578508088896465,-5.216572974803448,0.0
20569,-1.177625112814377,-1.223228433029305,-1.1200409175368837,0.0
20598,-119.35471205888616,-121.1764923307907,-120.82192046492789,58.0
20768,-14.23740701542024,-11.764202260587014,-14.309513353651269,0.0
