user_id,ll_personalized_poisson,ll_experimental_1_2_hawkes_hl1,test_purchases
38028,-11.914242575748082,-12.308227002992494,3.0
38072,-27.694782285550936,-27.89723466902143,6.0
38106,-16.78740001136485,-16.174145044079584,5.0
38175,-39.449160305827284,-36.06302574088791,8.0
38206,-61.0602337384003,-60.337011702476545,25.0
38469,-52.33375002920681,-52.24730484277173,25.0
38582,-84.84318735980827,-87.38272964395807,28.0
38594,-31.166071093568416,-30.26920387978339,11.0
38871,-34.40945240001955,-34.56501183134128,12.0
38918,-76.02610211441976,-74.12048813351355,41.0
38919,-12.35863198528398,-12.418332450619792,3.0
39110,-14.696527844001963,-15.146019590809768,4.0
39139,-6.679235215518727,-6.226231621543974,1.0
39285,-7.555658135017241,-6.702254868256998,0.0
39329,-57.615730118787724,-54.63606086562158,20.0
39385,-5.315150302160157,-5.0406136241640755,1.0
39449,-16.95384687361908,-17.341468722426946,5.0
39458,-11.531746004668934,-12.577565320181668,2.0
39488,-3.911067836615605,-3.4714251701334944,0.0
39521,-11.859148385177186,-12.603882003147005,3.0
39590,-12.737701220650733,-12.092855624551213,3.0
39605,-6.33916508780498,-6.538498395151284,1.0
39621,-4.936119141656627,-4.6690521074383975,1.0
39678,-3.303636120215332,-3.2001897443682963,0.0
39809,-20.037295031010565,-18.40937540288337,3.0
39826,-17.851844898856836,-17.34792304494334,5.0
39889,-5.458133486708735,-5.333458898748561,1.0
39935,-22.294440985637976,-22.859287143525847,7.0
39963,-20.56819124594994,-21.233056531897912,6.0
39965,-9.498241327685568,-9.542897958161266,2.0
40057,-50.27985716741417,-50.46768546944953,20.0
40104,-37.572911195962014,-36.96000490360994,17.0
40131,-20.668942621632443,-20.284941527481397,5.0
40167,-5.047793666435492,-5.203420655913303,1.0
40402,-5.054977870273966,-4.963672966460357,1.0
40742,-5.192687955297101,-5.3349033283564165,1.0
40746,-11.604497200361871,-11.326375410623,3.0
40777,-15.043449592785612,-14.961380049688355,4.0
40805,-23.490070726697585,-23.744941412007343,6.0
40807,-13.979057936426,-11.960090285069922,3.0
40884,-14.565870463911443,-14.649172606223054,4.0
40938,-31.594512357514557,-30.591556011956257,11.0
41016,-18.21109313813075,-18.52983987199925,5.0
41048,-150.96458246384518,-150.23828467304816,77.0
41098,-46.03163986816981,-46.33675930325656,20.0
41226,-18.670501914658036,-17.457385369452243,4.0
41300,-39.37938950732929,-40.94942033792804,12.0
41415,-18.06603983296729,-18.025878247189972,5.0
41474,-6.33916508780498,-6.337889240402346,1.0
41488,-16.141477378941953,-16.40385479511566,4.0
41492,-9.069868225138999,-8.861245294435069,2.0
41543,-42.202636166622185,-39.11999940211005,14.0
41550,-2.088772687414786,-1.8163593555584243,0.0
41830,-14.466496674784622,-14.456619795143043,4.0
41838,-4.952706857822955,-5.104326591476098,1.0
41860,-73.01860355008715,-69.06973585849015,30.0
41910,-1.56939108788397,-1.4007281709506767,0.0
42108,-8.594859117195762,-8.963328589790793,2.0
42141,-8.969604799727136,-9.178382064457232,2.0
42190,-12.663956644534931,-12.345424211746867,3.0
42318,-29.64337131314256,-25.58146350728805,6.0
42341,-1.177625112814377,-1.2541308832398834,0.0
42456,-8.766473284893761,-8.807511699412965,2.0
42530,-17.724875622729517,-17.552769845545722,5.0
42606,-4.518499553015877,-3.9375609769266493,0.0
42766,-29.69633319827415,-30.135272166466606,11.0
42979,-11.862824595199841,-12.46335970249798,3.0
43107,-5.0270082903850035,-4.992133927791263,1.0
43159,-5.1200989767156875,-5.012784931791993,1.0
43234,-19.104371097526023,-18.40950878977504,6.0
43463,-15.837315743012855,-15.322634365922399,4.0
43498,-8.573615475513144,-8.644247905169017,2.0
43614,-2.6962044038150594,-2.397027826175319,0.0
43615,-4.822215411216014,-4.510221712735094,0.0
43787,-41.34807849250385,-38.26390303987518,9.0
43937,-50.24952249609716,-49.555714526715164,19.0
43966,-14.841297986617013,-13.96773614106349,4.0
43969,-6.037078844016559,-5.257660074024526,0.0
44016,-65.18568553903954,-66.12285522403269,27.0
44074,-4.935928541338466,-5.185719970097397,1.0
44075,-8.400960036722378,-8.223802107897175,1.0
44121,-11.542688024120888,-11.923831671278117,3.0
44179,-21.88554936778649,-21.351990243423103,7.0
44264,-3.607351978415468,-3.18224889127813,0.0
44284,-34.890335098236775,-33.42889739186877,10.0
44377,-30.75149896117098,-31.510916239566452,9.0
44400,-18.201052588457856,-16.943142381829603,3.0
44403,-4.94294944482254,-5.089299976349558,1.0
44578,-21.688517449355786,-20.20947786723371,5.0
44731,-9.17304450015013,-8.839257404339895,2.0
44825,-35.78918785162278,-33.48185271142525,9.0
44840,-3.303636120215332,-2.8471195198185804,0.0
45002,-4.883537524255688,-5.120851660081462,1.0
45074,-5.635232740787853,-5.919895655994337,1.0
45078,-8.632391341079126,-8.830218490249154,2.0
45242,-36.159275985132304,-36.23989733436419,13.0
45394,-6.309400539000885,-6.492682192542236,1.0
45396,-18.888100844738187,-17.546328222191153,5.0
45397,-9.646171257219123,-10.232499881721102,2.0
45414,-5.156719579818233,-5.364956257485361,1.0
45543,-1.549904355232325,-1.3301164345709662,0.0
45558,-15.241507568640428,-15.698797244517046,4.0
45591,-63.41317964137205,-61.89806354180781,24.0
45853,-5.534448474927775,-5.61389321592635,1.0
