user_id,ll_personalized_poisson,ll_e1,test_purchases,ll_e12
667598,-5.222210932885856,-5.3718021723877225,1.0,-5.363023251048636
667600,-15.006963635171417,-15.89521279481774,4.0,-15.854294134563188
667664,-24.606808265816532,-25.04784967379306,8.0,-25.08151510430281
667693,-35.830829483801054,-33.25600780848274,10.0,-34.006207572001294
667765,-5.893110044514212,-5.723479776861927,1.0,-5.759682857500148
667798,-8.646225817393189,-9.077754172064148,2.0,-9.005447340979108
667875,-7.222761572415598,-6.7436238939917175,1.0,-6.848214145284019
667902,-4.518499553015877,-3.8002241622036106,0.0,-3.979629614447034
668075,-18.174074804230845,-18.29048159666729,5.0,-18.257757441054395
668100,-43.95834558570414,-44.06270200827195,17.0,-44.137567764503984
668146,-5.36880038031874,-5.381538693233626,1.0,-5.383488988564486
668154,-20.670037221883053,-15.486756381241133,4.0,-15.690594910191894
668284,-5.674841495768565,-5.6075548678693945,1.0,-5.797228455533891
668287,-5.578931752454721,-5.851881313636983,1.0,-5.809980009952579
668314,-1.8993620717143935,-1.6379175695797152,0.0,-1.6528944630025175
668418,-39.27029662820938,-37.98104019678141,14.0,-37.99079604183673
668550,-8.550658386780363,-8.726223618385772,2.0,-8.778705602740745
668577,-32.09768716072975,-32.28855369770176,11.0,-32.08660742161448
668944,-43.360028800480414,-42.41106082029365,16.0,-42.51423013914464
668953,-9.237671875532268,-9.07511441009808,2.0,-9.009751396625626
668955,-1.7850568292146498,-1.56304597867383,0.0,-1.6007215293250672
668958,-30.297542894640085,-30.726118207932775,7.0,-30.51439029312478
669196,-2.7712957305303125,-2.3245237845973223,0.0,-2.433598435778238
669282,-9.15314476033952,-6.644219227045643,2.0,-6.486990408288834
669321,-13.298591639485462,-12.781337676619165,3.0,-12.84396175925508
669397,-15.022640900893885,-15.279895304838949,4.0,-15.179978241202583
669699,-55.439584281645566,-52.39465749966339,22.0,-53.29299976643079
669852,-2.696204403815059,-2.263426548873869,0.0,-2.3639950639669465
669860,-11.702877276708584,-12.11170063762474,3.0,-12.104753885579573
669888,-18.77284338917369,-18.321653974589125,5.0,-18.311936460807196
670113,-7.048915528996363,-6.687197657933083,1.0,-6.8023045833605496
670415,-2.3924885456149223,-2.0027052782284582,0.0,-2.089146488520284
670426,-25.67309826121008,-25.161995530554037,7.0,-24.966424010563543
670455,-57.42037296447959,-57.151488590316966,20.0,-57.22331194917348
670468,-94.5094519467408,-91.40899436797751,46.0,-91.51901314280975
670598,-39.303643927275274,-40.054838624250344,15.0,-39.91494992893862
670635,-15.341817104621043,-15.494823880651884,4.0,-15.436805971187123
670653,-8.63421607814485,-9.274529947347473,2.0,-9.18234635227939
